201:Jersey City, NJ
202:Washington, DC
203:New Haven, CT
204:Poplar River, MB
205:Birmingham, AL
206:Seattle, WA
207:Portland, ME
208:Boise, ID
209:Modesto, CA
210:San Antonio, TX
212:New York, NY
213:Los Angeles, CA
214:Dallas, TX
215:Philadelphia, PA
216:Cleveland, OH
217:Champaign, IL
218:Duluth, MN
219:Gary, IN
224:Park Ridge, IL
225:Baton Rouge, LA
228:Gulfport, MS
229:Albany, GA
231:Muskegon, MI
234:Girard, OH
239:Fort Myers Beach, FL
240:Gaithersburg, MD
248:Royal Oak, MI
250:Penticton, BC
251:Mobile, AL
252:Greenville, NC
253:Tacoma, WA
254:Waco, TX
256:Huntsville, AL
260:Craigville, IN
262:Racine, WI
267:Doylestown, PA
269:Otsego, MI
270:Bowling Green, KY
276:Martinsville, VA
281:Houston, TX
289:Milton, ON
301:Rockville, MD
302:Wilmington, DE
303:Denver, CO
304:Charleston, WV
305:Miami, FL
306:Grenfell, SK
307:Cheyenne, WY
308:Grand Island, NE
309:Peoria, IL
310:Los Angeles, CA
312:Chicago, IL
313:Detroit, MI
314:Saint Louis, MO
315:Syracuse, NY
316:Wichita, KS
317:Indianapolis, IN
318:Shreveport, LA
319:Cedar Rapids, IA
320:Saint Cloud, MN
321:Melbourne, FL
323:Los Angeles, CA
325:Snyder, TX
330:Akron, OH
331:Elmhurst, IL
334:Montgomery, AL
336:Greensboro, NC
337:Lafayette, LA
339:Braintree, MA
340:Charlotte Amalie, VI
347:Ridgewood, NY
351:Danvers, MA
352:Gainesville, FL
360:Vancouver, WA
361:Corpus Christi, TX
385:S Salt Lake, UT
386:Daytona Beach, FL
401:Providence, RI
402:Omaha, NE
403:Castor, AB
404:Atlanta, GA
405:Oklahoma City, OK
406:Billings, MT
407:Orlando, FL
408:San Jose, CA
409:Beaumont, TX
410:Baltimore, MD
412:Pittsburgh, PA
413:Springfield, MA
414:Milwaukee, WI
415:San Francisco, CA
416:Toronto, ON
417:Springfield, MO
418:Saint Francois, QC
419:Toledo, OH
423:Chattanooga, TN
424:Culver City, CA
425:Kirkland, WA
430:Hughes Springs, TX
432:Garden City, TX
434:Lynchburg, VA
435:St George, UT
440:Cleveland, OH
442:Oceanside, CA
443:Pikesville, MD
450:Saint Lin, QC
458:Oregon
469:Plano, TX
470:Georgia
475:New Haven, CT
478:Macon, GA
479:Bluffton, AR
